pasc,PASC Name Simple,ICD-10-CM Code,ICD-10-CM Code_clean,ICD-10-CM Code Description,selected stringent,selected broader,snomed_code,mapping_source,concept_id,concept_name
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G9608,G96.08,Other cranial cerebrospinal fluid leak,1,1,419099009,imo,434489,Dead
Other general signs and symptoms,Edema,R6252,R62.52,Short stature (child),1,1,1186729007,imo,NULL,NULL
Sleep wake disorders,Sleep disorders,F5104,F51.04,Psychophysiologic insomnia,1,1,425832009,imo,4138617,Psychophysiologic insomnia
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G988,G98.8,Other disorders of nervous system,1,1,77659000,imo,378420,Paraneoplastic neuropathy
Diabetes mellitus with complication,Diabetes mellitus,E1140,E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",1,1,367527001,imo,435101,Open fracture of foot
Diabetes mellitus with complication,Diabetes mellitus,E133413,E13.3413,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,710815001,imo,46272451,Long-term current use of insulin
Diabetes mellitus with complication,Diabetes mellitus,E1129,E11.29,Type 2 diabetes mellitus with other diabetic kidney complication,1,1,127013003,imo,192279,Disorder of kidney due to diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M79609,M79.609,Pain in unspecified limb,1,1,247381009,imo,4082797,Limb stump pain
"Musculoskeletal pain, not low back pain",Joint pain,M25529,M25.529,Pain in unspecified elbow,1,1,271587009,imo,4154764,Stiffness
Diabetes mellitus with complication,Diabetes mellitus,E1169,E11.69,Type 2 diabetes mellitus with other specified complication,1,1,403059006,imo,4293292,Onychomycosis of toenails
Pressure ulcer of skin,Pressure ulcer,L89204,L89.204,"Pressure ulcer of unspecified hip, stage 4",1,1,699214007,imo,44782447,Pressure ulcer of hip
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I824Z2,I82.4Z2,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity,1,1,373408007,imo,4189293,Vascular disorder of lower extremity
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,193745007,imo,376402,"Low vision, one eye"
Diabetes mellitus with complication,Diabetes mellitus,E1359,E13.59,Other specified diabetes mellitus with other circulatory complications,1,1,127013003,imo,192279,Disorder of kidney due to diabetes mellitus
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G935,G93.5,Compression of brain,1,1,722931001,imo,36716758,Neonatal compression of brain
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1909,R19.09,"Other intra-abdominal and pelvic swelling, mass and lump",1,1,74285003,imo,201131,Pelvic mass
Diabetes mellitus with complication,Diabetes mellitus,E103292,E10.3292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",1,1,16745211000119100,imo,609097,Nonproliferative retinopathy of left eye due to diabetes mellitus type 1
Diabetes mellitus with complication,Diabetes mellitus,E113419,E11.3419,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,710815001,imo,46272451,Long-term current use of insulin
Diabetes mellitus with complication,Diabetes mellitus,E11359,E11.359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,1,1,232023006,imo,4338901,Traction detachment of retina due to diabetes mellitus
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1032,R10.32,Left lower quadrant pain,1,1,6617009,imo,4279301,Referred pain
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,88768004,imo,377277,Impairment level: total impairment of both eyes
Diabetes mellitus with complication,Diabetes mellitus,E1022,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,1,1,46635009,imo,201254,Type 1 diabetes mellitus
Anemia,Anemia,D631,D63.1,Anemia in chronic kidney disease,1,1,691411000119101,imo,37395652,Anemia in chronic kidney disease stage 5
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,O2231,O22.31,"Deep phlebothrombosis in pregnancy, first trimester",1,1,200232006,imo,441649,Antenatal deep vein thrombosis - delivered
Neurocognitive disorders,Dementia,G3109,G31.09,Other frontotemporal dementia,1,1,1260352009,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E103299,E10.3299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,82571000119107,imo,45769873,Traction detachment of retina due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E108,E10.8,Type 1 diabetes mellitus with unspecified complications,1,1,46635009,imo,201254,Type 1 diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82611,I82.611,Acute embolism and thrombosis of superficial veins of right upper extremity,1,1,429098002,imo,4327889,Thromboembolism of vein
Diabetes mellitus with complication,Diabetes mellitus,E083493,E08.3493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,8801005,imo,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E11354,E11.354,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,1,1,232012007,imo,4338897,Combined traction and rhegmatogenous retinal detachment
Respiratory signs and symptoms,Dyspnea,R051,R05.1,Acute cough,1,1,2704003,imo,443883,Acute disease
Diabetes mellitus with complication,Diabetes mellitus,E08319,E08.319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,1,1,193720009,imo,4103740,"Better eye: moderate visual impairment, Lesser eye: profound visual impairment"
Headache; including migraine,Headache,R519,R51.9,"Headache, unspecified",1,1,103008008,imo,4012240,Postpartum headache
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R161,R16.1,"Splenomegaly, not elsewhere classified",1,1,713275003,imo,37017082,Splenomegaly co-occurrent with human immunodeficiency virus infection
Diabetes mellitus with complication,Diabetes mellitus,E083512,E08.3512,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",1,1,25093002,imo,443767,Disorder of eye due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1336,E13.36,Other specified diabetes mellitus with diabetic cataract,1,1,193745007,imo,376402,"Low vision, one eye"
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1012,R10.12,Left upper quadrant pain,1,1,279093005,imo,4133046,Cramping pain
Other general signs and symptoms,Edema,R6889,R68.89,Other general symptoms and signs,1,1,300671004,imo,4101961,Unable to cross the road
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J984,J98.4,Other disorders of lung,1,1,684633371000119107,imo,NULL,NULL
Other specified and unspecified gastrointestinal disorders,Constipation,K6389,K63.89,Other specified diseases of intestine,1,1,723496007,imo,37109693,Natural killer cell enteropathy
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82413,I82.413,"Acute embolism and thrombosis of femoral vein, bilateral",1,1,703277001,imo,45773536,Deep venous thrombosis of femoropopliteal vein
Headache; including migraine,Headache,G4482,G44.82,Headache associated with sexual activity,1,1,395688005,imo,4193674,Benign coital headache
Other specified and unspecified gastrointestinal disorders,Constipation,K5909,K59.09,Other constipation,1,1,31499008,imo,4135220,Chronic constipation with overflow
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I8013,I80.13,"Phlebitis and thrombophlebitis of femoral vein, bilateral",1,1,451431000124104,imo,764156,Disorder of left lower extremity
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G908,G90.8,Other disorders of autonomic nervous system,1,1,427989008,imo,4177045,Chronotropic incompetence
Other general signs and symptoms,Edema,R2991,R29.91,Unspecified symptoms and signs involving the musculoskeletal system,1,1,428810004,imo,4323337,History of operative procedure on shoulder
Diabetes mellitus with complication,Diabetes mellitus,E103419,E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,82571000119107,imo,45769873,Traction detachment of retina due to type 1 diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89124,L89.124,"Pressure ulcer of left upper back, stage 4",1,1,1163224003,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E1141,E11.41,Type 2 diabetes mellitus with diabetic mononeuropathy,1,1,361216007,imo,4263090,Femoral mononeuropathy due to diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M25552,M25.552,Pain in left hip,1,1,713413001,imo,37017182,Joint pain of pelvic region
Diabetes mellitus with complication,Diabetes mellitus,E103413,E10.3413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,193699007,imo,372906,Blindness - both eyes
Diabetes mellitus with complication,Diabetes mellitus,E10359,E10.359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,1,1,25412000,imo,4101478,Microaneurysm of retinal artery due to diabetes mellitus
Respiratory signs and symptoms,Dyspnea,R053,R05.3,Chronic cough,1,1,49727002,imo,254761,Cough
Other general signs and symptoms,Edema,R29898,R29.898,Other symptoms and signs involving the musculoskeletal system,1,1,733512004,imo,37116701,Neck rotated to right
Diabetes mellitus with complication,Diabetes mellitus,E1010,E10.10,Type 1 diabetes mellitus with ketoacidosis without coma,1,1,420270002,imo,439770,Ketoacidosis due to type 1 diabetes mellitus
Other specified and unspecified gastrointestinal disorders,Constipation,K5989,K59.89,Other specified functional intestinal disorders,1,1,1156770004,imo,608039,Neuronal intestinal pseudo-obstruction
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J99,J99,Respiratory disorders in diseases classified elsewhere,1,1,243981000119109,imo,45757605,Pulmonary filariasis
Nonspecific chest pain,Chest pain,R079,R07.9,"Chest pain, unspecified",1,1,81953000,imo,4218253,Chest pain on exertion
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I824Y2,I82.4Y2,Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity,1,1,651000119108,imo,43531681,Acute deep vein thrombosis of lower limb
Other general signs and symptoms,Edema,R636,R63.6,Underweight,1,1,717933005,imo,36713558,Severe thinness in adulthood
Diabetes mellitus with complication,Diabetes mellitus,E113293,E11.3293,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,390834004,imo,376683,Nonproliferative retinopathy due to diabetes mellitus
Malaise and fatigue,Malaise and fatigue,R531,R53.1,Weakness,1,1,248278004,imo,4093848,Attacks of weakness
Nervous system signs and symptoms,Cognitive problems,R4701,R47.01,Aphasia,1,1,87486003,imo,440424,Aphasia
Sleep wake disorders,Sleep disorders,G4730,G47.30,"Sleep apnea, unspecified",1,1,73430006,imo,313459,Sleep apnea
"Musculoskeletal pain, not low back pain",Joint pain,M25661,M25.661,"Stiffness of right knee, not elsewhere classified",1,1,15634931000119109,imo,761161,Bilateral stiffness of knee joints
Diabetes mellitus with complication,Diabetes mellitus,E0836,E08.36,Diabetes mellitus due to underlying condition with diabetic cataract,1,1,170747006,imo,440922,Diabetic on insulin
Diabetes mellitus with complication,Diabetes mellitus,E10331,E10.331,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,1,1,105597003,imo,4023310,Blindness AND/OR vision impairment level
Nervous system signs and symptoms,Cognitive problems,R2990,R29.90,Unspecified symptoms and signs involving the nervous system,1,1,102957003,imo,4011630,Neurological finding
Sleep wake disorders,Sleep disorders,G4732,G47.32,High altitude periodic breathing,1,1,85721000119105,imo,43531585,Central sleep apnea due to periodic breathing
Diabetes mellitus with complication,Diabetes mellitus,E11349,E11.349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,1,1,399871005,imo,4266041,Visually threatening diabetic retinopathy
Respiratory signs and symptoms,Dyspnea,R067,R06.7,Sneezing,1,1,129894004,imo,4032667,Photoptarmosis
Diabetes mellitus with complication,Diabetes mellitus,E083551,E08.3551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",1,1,170763003,imo,4016045,Diabetic - good control
Diabetes mellitus with complication,Diabetes mellitus,E1322,E13.22,Other specified diabetes mellitus with diabetic chronic kidney disease,1,1,38341003,imo,316866,Hypertensive disorder
Other general signs and symptoms,Edema,R6252,R62.52,Short stature (child),1,1,414916001,imo,433736,Obesity
Diabetes mellitus with complication,Diabetes mellitus,E083493,E08.3493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,36676002,imo,374930,Impairment level: profound impairment of both eyes
Headache; including migraine,Headache,G43C1,G43.C1,"Periodic headache syndromes in child or adult, intractable",1,1,230467008,imo,377844,Status migrainosus
"Musculoskeletal pain, not low back pain",Joint pain,M25561,M25.561,Pain in right knee,1,1,49218002,imo,4170554,Hip pain
Diabetes mellitus with complication,Diabetes mellitus,E13311,E13.311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,15010004,imo,374937,Impairment level: better eye: near-total impairment: lesser-eye: not further specified
Neurocognitive disorders,Dementia,F0281,F02.81,Dementia in other diseases classified elsewhere with behavioral disturbance,1,1,22381000119105,imo,43020444,Primary degenerative dementia
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I8010,I80.10,Phlebitis and thrombophlebitis of unspecified femoral vein,1,1,195410000,imo,439314,Thrombophlebitis of the femoral vein
Diabetes mellitus with complication,Diabetes mellitus,E1322,E13.22,Other specified diabetes mellitus with diabetic chronic kidney disease,1,1,709044004,imo,46271022,Chronic kidney disease
Headache; including migraine,Headache,G43419,G43.419,"Hemiplegic migraine, intractable, without status migrainosus",1,1,59292006,imo,433763,Hemiplegic migraine
Diabetes mellitus with complication,Diabetes mellitus,E13321,E13.321,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,1,1,8801005,imo,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E13311,E13.311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,73211009,imo,201820,Diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89890,L89.890,"Pressure ulcer of other site, unstageable",1,1,400037008,imo,4266661,Disorder of perianal skin
"Musculoskeletal pain, not low back pain",Joint pain,M25611,M25.611,"Stiffness of right shoulder, not elsewhere classified",1,1,15729601000119103,imo,761506,Arthropathy of right shoulder
Diabetes mellitus with complication,Diabetes mellitus,E133413,E13.3413,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,218951000119100,imo,45757571,Bilateral visual impairment
Diabetes mellitus with complication,Diabetes mellitus,E103413,E10.3413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,75133003,imo,377289,Impairment level: moderate impairment of both eyes
Diabetes mellitus with complication,Diabetes mellitus,E103511,E10.3511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",1,1,16748741000119101,imo,609118,Proliferative retinopathy of right eye due to diabetes mellitus type 1
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,45089002,imo,4260685,Normal vision
Sleep wake disorders,Sleep disorders,G47419,G47.419,Narcolepsy without cataplexy,1,1,232333009,imo,4049221,Hearing loss associated with syndrome
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1084,R10.84,Generalized abdominal pain,1,1,248450003,imo,4086668,Postoperative fever
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J988,J98.8,Other specified respiratory disorders,1,1,233776003,imo,252662,Tracheobronchial disorder
Diabetes mellitus with complication,Diabetes mellitus,E119,E11.9,Type 2 diabetes mellitus without complications,1,1,860711003,imo,3655226,No diabetic maculopathy of bilateral eyes
Diabetes mellitus with complication,Diabetes mellitus,E11321,E11.321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,1,1,193732008,imo,377279,"Profound impairment, one eye"
Diabetes mellitus with complication,Diabetes mellitus,E113313,E11.3313,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,397542006,imo,4288371,Moderate visual impairment
Diabetes mellitus with complication,Diabetes mellitus,E133399,E13.3399,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,268519009,imo,443238,Diabetic - poor control
Neurocognitive disorders,Dementia,F0280,F02.80,Dementia in other diseases classified elsewhere without behavioral disturbance,1,1,230265002,imo,4043241,Familial Alzheimer's disease of early onset
Diabetes mellitus with complication,Diabetes mellitus,E11329,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,1,1,399866003,imo,4161670,Venous beading of retina due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E103519,E10.3519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",1,1,399869005,imo,4164176,High risk proliferative retinopathy not amenable to photocoagulation due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E11341,E11.341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,1,1,14781008,imo,381008,Impairment level: one eye: near-total impairment: other eye: near-normal vision
Diabetes mellitus with complication,Diabetes mellitus,E133491,E13.3491,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",1,1,769244003,imo,35626087,Disorder of right macula due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1165,E11.65,Type 2 diabetes mellitus with hyperglycemia,1,1,73211009,imo,201820,Diabetes mellitus
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G9520,G95.20,Unspecified cord compression,1,1,1263511000,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E133311,E13.3311,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",1,1,769244003,imo,35626087,Disorder of right macula due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80201,I80.201,Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity,1,1,451421000124102,imo,764155,Disorder of right lower extremity
Other general signs and symptoms,Edema,R6250,R62.50,Unspecified lack of expected normal physiological development in childhood,1,1,704371007,imo,45767074,Impairment of newborn development
Sleep wake disorders,Sleep disorders,G4736,G47.36,Sleep related hypoventilation in conditions classified elsewhere,1,1,443760008,imo,40483220,Sleep hypoventilation
Diabetes mellitus with complication,Diabetes mellitus,E113552,E11.3552,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",1,1,816962002,imo,37311832,Stable treated proliferative retinopathy of left eye due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E113319,E11.3319,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,97331000119101,imo,45770830,Macular edema and retinopathy due to type 2 diabetes mellitus
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R109,R10.9,Unspecified abdominal pain,1,1,30473006,imo,4147829,Pain in pelvis
Diabetes mellitus with complication,Diabetes mellitus,E11311,E11.311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,63385005,imo,378431,Impairment level: better eye: moderate impairment: lesser eye: not further specified
Diabetes mellitus with complication,Diabetes mellitus,E1165,E11.65,Type 2 diabetes mellitus with hyperglycemia,1,1,710815001,imo,46272451,Long-term current use of insulin
Diabetes mellitus with complication,Diabetes mellitus,E133313,E13.3313,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,193699007,imo,372906,Blindness - both eyes
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82A13,I82.A13,"Acute embolism and thrombosis of axillary vein, bilateral",1,1,285321000119103,imo,762008,Acute deep venous thrombosis of bilateral axillary veins
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J9809,J98.09,"Other diseases of bronchus, not elsewhere classified",1,1,68917000,imo,4288734,Bronchiolar disease
Diabetes mellitus with complication,Diabetes mellitus,E103551,E10.3551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",1,1,769219006,imo,35626069,Macular edema due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E13339,E13.339,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,1,1,25412000,imo,4101478,Microaneurysm of retinal artery due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E133499,E13.3499,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,609571007,imo,43531013,"Maturity-onset diabetes of the young, type 4"
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J84111,J84.111,"Idiopathic interstitial pneumonia, not otherwise specified",1,1,704345008,imo,45767051,Chronic interstitial pneumonia
Other specified and unspecified skin disorders,Hair loss,L659,L65.9,"Nonscarring hair loss, unspecified",1,1,22811006,imo,4027461,Leukoencephalopathy
Diabetes mellitus with complication,Diabetes mellitus,E103599,E10.3599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",1,1,8771000119104,imo,45773067,Bilateral moderate to severe visual impairment
Diabetes mellitus with complication,Diabetes mellitus,E1136,E11.36,Type 2 diabetes mellitus with diabetic cataract,1,1,193716005,imo,4109118,"Better eye: severe visual impairment, Lesser eye: profound visual impairment"
Diabetes mellitus with complication,Diabetes mellitus,E10339,E10.339,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,1,1,238984005,imo,4082348,Rubeosis faciei due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E103399,E10.3399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,420789003,imo,4227210,Retinopathy due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1152,E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,1,1,73211009,imo,201820,Diabetes mellitus
Other general signs and symptoms,Edema,R636,R63.6,Underweight,1,1,762490009,imo,42538716,Underweight in infancy
Neurocognitive disorders,Dementia,F0280,F02.80,Dementia in other diseases classified elsewhere without behavioral disturbance,1,1,762351006,imo,42538610,Dementia due to and following injury of head
Diabetes mellitus with complication,Diabetes mellitus,E103393,E10.3393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,75133003,imo,377289,Impairment level: moderate impairment of both eyes
Diabetes mellitus with complication,Diabetes mellitus,E11349,E11.349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,1,1,314537004,imo,4151453,Diabetic optic papillopathy
Diabetes mellitus with complication,Diabetes mellitus,E1137X9,E11.37X9,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",1,1,13016311000119104,imo,37209189,History of retinal edema
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80221,I80.221,Phlebitis and thrombophlebitis of right popliteal vein,1,1,451421000124102,imo,764155,Disorder of right lower extremity
Diabetes mellitus with complication,Diabetes mellitus,E11311,E11.311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,769244003,imo,35626087,Disorder of right macula due to diabetes mellitus
Headache; including migraine,Headache,G4431,G44.31,Acute post-traumatic headache,1,1,122751000119105,imo,44782681,Acute posttraumatic headache
Diabetes mellitus with complication,Diabetes mellitus,E11311,E11.311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,14781008,imo,381008,Impairment level: one eye: near-total impairment: other eye: near-normal vision
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J22,J22,Unspecified acute lower respiratory infection,1,1,118946009,imo,4043346,Disorder of thorax
Nervous system signs and symptoms,Cognitive problems,R29818,R29.818,Other symptoms and signs involving the nervous system,1,1,363056008,imo,4180011,Degenerative disorder of extremity
Diabetes mellitus with complication,Diabetes mellitus,E10621,E10.621,Type 1 diabetes mellitus with foot ulcer,1,1,397758007,imo,4287786,Avascular necrosis of bone
Headache; including migraine,Headache,G4351,G43.51,"Persistent migraine aura without cerebral infarction, intractable",1,1,NULL,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E103313,E10.3313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,769219006,imo,35626069,Macular edema due to type 1 diabetes mellitus
Nonspecific chest pain,Chest pain,R0789,R07.89,Other chest pain,1,1,434011000124101,imo,762941,Chronic chest pain
Diabetes mellitus with complication,Diabetes mellitus,E1039,E10.39,Type 1 diabetes mellitus with other diabetic ophthalmic complication,1,1,6141006,imo,372903,Retinal edema
Diabetes mellitus with complication,Diabetes mellitus,E083552,E08.3552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",1,1,170763003,imo,4016045,Diabetic - good control
Diabetes mellitus with complication,Diabetes mellitus,E10319,E10.319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,1,1,312910009,imo,4195045,Vitreous hemorrhage due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80291,I80.291,Phlebitis and thrombophlebitis of other deep vessels of right lower extremity,1,1,16014471000119103,imo,35615103,Right lower limb vein thrombophlebitis
Diabetes mellitus with complication,Diabetes mellitus,E113411,E11.3411,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",1,1,444110003,imo,40485020,Type 2 diabetes mellitus well controlled
Diabetes mellitus with complication,Diabetes mellitus,E11321,E11.321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,1,1,312903003,imo,378743,Mild nonproliferative retinopathy due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E08319,E08.319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,1,1,170763003,imo,4016045,Diabetic - good control
Diabetes mellitus with complication,Diabetes mellitus,E11349,E11.349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,1,1,1909000,imo,374039,Impairment level: better eye: severe impairment: lesser eye: near-total impairment
Other general signs and symptoms,Edema,R600,R60.0,Localized edema,1,1,789007001,imo,37311894,Pitting edema of lip
Diabetes mellitus with complication,Diabetes mellitus,E113211,E11.3211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",1,1,170763003,imo,4016045,Diabetic - good control
Other general signs and symptoms,Edema,R6889,R68.89,Other general symptoms and signs,1,1,69215007,imo,4286961,Intolerant of heat
Diabetes mellitus with complication,Diabetes mellitus,E113552,E11.3552,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",1,1,770766000,imo,36674200,Proliferative retinopathy of left eye due to diabetes mellitus
Other specified and unspecified gastrointestinal disorders,Constipation,K599,K59.9,"Functional intestinal disorder, unspecified",1,1,88478000,imo,4228534,Abnormal small bowel motility
Nervous system signs and symptoms,Cognitive problems,R410,R41.0,"Disorientation, unspecified",1,1,2704003,imo,443883,Acute disease
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80203,I80.203,"Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities, bilateral",1,1,451421000124102,imo,764155,Disorder of right lower extremity
Sleep wake disorders,Sleep disorders,G478,G47.8,Other sleep disorders,1,1,230445007,imo,4044229,Nocturnal epilepsy
Nervous system signs and symptoms,Cognitive problems,R471,R47.1,Dysarthria and anarthria,1,1,127341005,imo,4132091,Acute nervous system disorder
Headache; including migraine,Headache,G4459,G44.59,Other complicated headache syndrome,1,1,230461009,imo,375527,Headache disorder
Diabetes mellitus with complication,Diabetes mellitus,E138,E13.8,Other specified diabetes mellitus with unspecified complications,1,1,609572000,imo,43531014,"Maturity-onset diabetes of the young, type 5"
